letter	frequency
time	1833
year	1639
people	1256
way	1108
man	1003
day	940
thing	776
child	710
Mr	673
government	670
work	653
life	645
woman	631
system	619
case	613
part	612
group	607
number	606
world	600
house	598
area	585
company	579
problem	565
service	549
place	534
hand	532
party	529
school	529
country	486
point	484
week	476
member	471
end	458
state	440
word	438
family	428
fact	426
head	402
month	398
side	398
business	394
night	393
eye	392
home	390
question	390
information	387
power	385
change	384
per_cent	384
interest	376
development	375
money	375
book	374
water	372
other	367
form	365
room	364
level	360
car	353
council	348
policy	348
market	346
court	344
effect	336
result	334
idea	328
use	328
study	327
name	326
job	326
body	325
report	325
line	323
law	318
face	315
friend	315
authority	313
road	313
minister	305
rate	303
hour	302
door	302
office	300
